class,chinese,precision,recall,f1,support
AH,空洞,0.9948186528497409,0.9948186528497409,0.9948186528497409,386
CT,碳痕,0.9946236559139785,0.9946236559139785,0.9946236559139785,372
HT,接頭異常,1.0,1.0,1.0,237
TD,不規則邊緣,1.0,1.0,1.0,288
CD,典型電暈放電,1.0,1.0,1.0,270
ID,典型內部放電,1.0,1.0,1.0,135
SD,典型表面放電,1.0,1.0,1.0,135
macro_avg,宏觀平均,0.998491758394817,0.998491758394817,0.998491758394817,1823
weighted_avg,加權平均,0.997805814591333,0.997805814591333,0.997805814591333,1823
accuracy,準確率,,,0.997805814591333,1823
