class,chinese,precision,recall,f1,support
AH,空洞,0.9974093264248705,0.9974093264248705,0.9974093264248705,386
CT,碳痕,0.9973118279569892,0.9973118279569892,0.9973118279569892,372
HT,接頭異常,1.0,1.0,1.0,237
TD,不規則邊緣,1.0,1.0,1.0,288
CD,典型電暈放電,1.0,1.0,1.0,270
ID,典型內部放電,1.0,1.0,1.0,135
SD,典型表面放電,1.0,1.0,1.0,135
macro_avg,宏觀平均,0.9992458791974085,0.9992458791974085,0.9992458791974085,1823
weighted_avg,加權平均,0.9989029072956664,0.9989029072956664,0.9989029072956664,1823
accuracy,準確率,,,0.9989029072956664,1823
