,AH,CT,HT,TD,CD,ID,SD
AH,434,1,0,0,0,0,1
CT,0,420,0,0,0,0,0
HT,0,0,267,0,0,0,0
TD,0,0,0,324,0,0,0
CD,0,2,0,0,304,0,0
ID,0,0,0,0,0,153,0
SD,1,0,0,0,0,0,152
