class,precision,recall,f1-score,support
AH,0.9977011494252873,0.9954128440366973,0.9965556831228473,436
CT,0.9929078014184397,1.0,0.99644128113879,420
HT,1.0,1.0,1.0,267
TD,1.0,1.0,1.0,324
CD,1.0,0.9934640522875817,0.9967213114754099,306
ID,1.0,1.0,1.0,153
SD,0.9934640522875817,0.9934640522875817,0.9934640522875817,153
macro avg,0.9977247147330441,0.9974772783731229,0.9975974754320899,2059
weighted avg,0.9975808536887663,0.9975716367168529,0.9975718005008881,2059
