class,precision,recall,f1-score,support
AH,0.9954128440366973,0.9954128440366973,0.9954128440366973,436
CT,0.9928909952606635,0.9976190476190476,0.995249406175772,420
HT,1.0,1.0,1.0,267
TD,1.0,0.9938271604938271,0.9969040247678018,324
CD,1.0,1.0,1.0,306
ID,1.0,1.0,1.0,153
SD,1.0,1.0,1.0,153
macro avg,0.9983291198996229,0.9981227217356532,0.9982237535686102,2059
weighted avg,0.9975785420152883,0.9975716367168529,0.9975724403198601,2059
