,AH,CT,HT,TD,CD,ID,SD
AH,434,2,0,0,0,0,0
CT,1,419,0,0,0,0,0
HT,0,0,267,0,0,0,0
TD,1,1,0,322,0,0,0
CD,0,0,0,0,306,0,0
ID,0,0,0,0,0,153,0
SD,0,0,0,0,0,0,153
