fold,train_size,val_size,best_epoch,val_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,train_time_seconds,train_time_hms
1,8236,2060,53,0.9990291262135922,0.9993330178723193,0.9993330178723193,0.9993330178723193,0.9990291262135922,22507.66402244568,6:15:07
2,8237,2059,15,0.9975716367168529,0.9983291198996229,0.9981227217356532,0.9982237535686102,0.9975724403198601,22585.921768188477,6:16:25
3,8237,2059,15,0.9975716367168529,0.9977247147330441,0.9974772783731229,0.9975974754320899,0.9975718005008881,22488.278457164764,6:14:48
4,8237,2059,58,0.9985429820301117,0.998992936514437,0.9990045559508207,0.9989983573137956,0.9985430118662091,22543.278566360474,6:15:43
5,8237,2059,46,0.9975716367168529,0.9983252011591761,0.9983367658990201,0.9983305955229926,0.997571686443682,22554.026475667953,6:15:54
