class,chinese,precision,recall,f1,support
AH,空洞,0.9897435897435898,1.0,0.9948453608247423,386
CT,碳痕,1.0,0.989247311827957,0.9945945945945946,372
HT,接頭異常,1.0,1.0,1.0,237
TD,不規則邊緣,1.0,1.0,1.0,288
CD,典型電暈放電,1.0,1.0,1.0,270
ID,典型內部放電,1.0,1.0,1.0,135
SD,典型表面放電,1.0,1.0,1.0,135
macro_avg,宏觀平均,0.9985347985347985,0.9984639016897081,0.9984914222027624,1823
weighted_avg,加權平均,0.9978283190570629,0.997805814591333,0.9978055394775314,1823
accuracy,準確率,,,0.997805814591333,1823
