class,precision,recall,f1-score,support
AH,0.9977064220183486,0.9977064220183486,0.9977064220183486,436
CT,0.997624703087886,0.997624703087886,0.997624703087886,421
HT,1.0,1.0,1.0,266
TD,1.0,1.0,1.0,325
CD,1.0,1.0,1.0,306
ID,1.0,1.0,1.0,153
SD,1.0,1.0,1.0,153
macro avg,0.9993330178723193,0.9993330178723193,0.9993330178723193,2060
weighted avg,0.9990291262135922,0.9990291262135922,0.9990291262135922,2060
