,AH,CT,HT,TD,CD,ID,SD
AH,435,1,0,0,0,0,0
CT,1,420,0,0,0,0,0
HT,0,0,266,0,0,0,0
TD,0,0,0,325,0,0,0
CD,0,0,0,0,306,0,0
ID,0,0,0,0,0,153,0
SD,0,0,0,0,0,0,153
