class,chinese,precision,recall,f1,support
AH,空洞,0.9871794871794872,0.9974093264248705,0.9922680412371134,386
CT,碳痕,0.9972826086956522,0.9865591397849462,0.9918918918918919,372
HT,接頭異常,1.0,1.0,1.0,237
TD,不規則邊緣,1.0,1.0,1.0,288
CD,典型電暈放電,1.0,1.0,1.0,270
ID,典型內部放電,1.0,1.0,1.0,135
SD,典型表面放電,1.0,1.0,1.0,135
macro_avg,宏觀平均,0.9977802994107342,0.9977097808871166,0.9977371333041436,1823
weighted_avg,加權平均,0.9967308900088122,0.9967087218869994,0.996708309216297,1823
accuracy,準確率,,,0.9967087218869994,1823
