class,precision,recall,f1-score,support
AH,0.9954022988505747,0.9931192660550459,0.9942594718714122,436
CT,0.9928741092636579,0.9952380952380953,0.9940546967895363,420
HT,1.0,1.0,1.0,266
TD,1.0,1.0,1.0,325
CD,1.0,1.0,1.0,306
ID,1.0,1.0,1.0,153
SD,1.0,1.0,1.0,153
macro avg,0.9983252011591761,0.9983367658990201,0.9983305955229926,2059
weighted avg,0.997572864589406,0.9975716367168529,0.997571686443682,2059
