,AH,CT,HT,TD,CD,ID,SD
AH,433,3,0,0,0,0,0
CT,2,418,0,0,0,0,0
HT,0,0,266,0,0,0,0
TD,0,0,0,325,0,0,0
CD,0,0,0,0,306,0,0
ID,0,0,0,0,0,153,0
SD,0,0,0,0,0,0,153
