class,precision,recall,f1-score,support
AH,0.9977011494252873,0.9954128440366973,0.9965556831228473,436
CT,0.995249406175772,0.9976190476190476,0.9964328180737217,420
HT,1.0,1.0,1.0,266
TD,1.0,1.0,1.0,325
CD,1.0,1.0,1.0,306
ID,1.0,1.0,1.0,153
SD,1.0,1.0,1.0,153
macro avg,0.998992936514437,0.9990045559508207,0.9989983573137956,2059
weighted avg,0.998544172774769,0.9985429820301117,0.9985430118662091,2059
